Province,SIICaP Data Camp,PINAS
Abra,3,
Agusan del Norte,12,
Agusan del Sur,1,
Aklan,10,
Albay,14,
Antique,2,
Apayao,0,
Aurora,1,
Basilan,0,
Bataan,3,
Batanes,0,
Batangas,26,
Benguet,13,
Biliran,1,
Bohol,7,
Bukidnon,6,
Bulacan,54,
Cagayan,7,
Camarines Norte,7,
Camarines Sur,37,
Camiguin,1,
Capiz,3,
Catanduanes,0,
Cavite,49,
Cebu,48,
City of Isabela,0,
Compostela Valley,0,
Cotabato,5,
Cotabato City,0,
Davao del Norte,5,
Davao del Sur,18,
Davao Occidental,0,
Davao Oriental,0,
Dinagat Islands,0,
Eastern Samar,1,
Guimaras,1,
Ifugao,0,
Ilocos Norte,3,
Ilocos Sur,1,
Iloilo,45,99
Isabela,4,
Kalinga,0,
La Union,5,
Laguna,52,
Lanao del Norte,2,
Lanao del Sur,1,
Leyte,16,
Maguindanao,1,
Marinduque,4,
Masbate,5,
Misamis Occidental,10,
Misamis Oriental,9,
NCR,379,
Mountain Province,0,
Negros Occidental,10,
Negros Oriental,3,
Northern Samar,1,
Nueva Ecija,13,
Nueva Vizcaya,1,
Occidental Mindoro,0,
Oriental Mindoro,2,
Palawan,7,116
Pampanga,19,
Pangasinan,12,
Quezon,7,
Quirino,0,
Rizal,32,
Romblon,1,
Samar,2,
Sarangani,0,
Siquijor,0,
Sorsogon,3,
South Cotabato,11,
Southern Leyte,0,
Sultan Kudarat,1,
Sulu,1,
Surigao del Norte,2,
Surigao del Sur,2,
Tarlac,13,
Tawi-Tawi,0,
Zambales,4,
Zamboanga del Norte,0,
Zamboanga del Sur,5,
Zamboanga Sibugay,1,
